group,trial_id,condition,character_set,target_pronoun,target_id,target_image,target_name,target_file,target_x,distractor_pronoun,distractor_id,distractor_image,distractor_name,distractor_file,distractor_x,object_image,object_x,object_y2,object_y3,object_y4, sibling_image,top_left,bottom_left,top_right,bottom_right,correct_description,audio
6,both_list6_example2,both,6,she/her,4,ST2,emily,ST2_she_emily_nametag.png,275,they/them,9,ST3,alex,ST3_they_alex_nametag.png,525,pepper.png,175,250,300,350,ST2_sister_emily.png,ST2_brother_emily.png,ST2_sister_emily.png,ST3_sister_alex.png,ST3_brother_alex.png,Emily gave the pepper to her sister.,example_emily-pepper-her-sister.mp3
6,both_list6_example3,both,6,they/them,9,ST3,alex,ST3_they_alex_nametag.png,525,he/him,17,HT3,brian,HT3_he_brian_nametag.png,275,peach.png,725,250,300,350,ST3_brother_alex.png,HT3_brother_brian.png,HT3_sister_brian.png,ST3_sister_alex.png,ST3_brother_alex.png,Alex gave the peach to their brother.,example_alex-peach-their-brother.mp3
7,nametag_list1_example1,nametag,1,he/him,14,HT2,alex,HT2_he_alex_nametag.png,525,she/her,8,ST3,jess,ST3_she_jess_nametag.png,275,fork.png,725,150,100,50,HT2_sister_alex.png,ST3_sister_jess.png,ST3_brother_jess.png,HT2_sister_alex.png,HT2_brother_alex.png,Alex gave the fork to his sister.,example_alex-fork-his-sister.mp3
7,nametag_list1_example2,nametag,1,she/her,8,ST3,jess,ST3_she_jess_nametag.png,275,they/them,12,HT1,dan,HT1_they_dan_nametag.png,525,pepper.png,175,250,300,350,ST3_sister_jess.png,ST3_brother_jess.png,ST3_sister_jess.png,HT1_sister_dan.png,HT1_brother_dan.png,Jess gave the pepper to her sister.,example_jess-pepper-her-sister.mp3
7,nametag_list1_example3,nametag,1,they/them,12,HT1,dan,HT1_they_dan_nametag.png,525,he/him,14,HT2,alex,HT2_he_alex_nametag.png,275,peach.png,725,250,300,350,HT1_sister_dan.png,HT2_brother_alex.png,HT2_sister_alex.png,HT1_brother_dan.png,HT1_sister_dan.png,Dan gave the peach to their sister.,example_dan-peach-their-sister.mp3
8,nametag_list2_example1,nametag,2,he/him,10,HT1,sam,HT1_he_sam_nametag.png,525,she/her,2,ST1,jess,ST1_she_jess_nametag.png,275,fork.png,725,150,100,50,HT1_brother_sam.png,ST1_sister_jess.png,ST1_brother_jess.png,HT1_brother_sam.png,HT1_sister_sam.png,Sam gave the fork to his brother.,example_sam-fork-his-brother.mp3
8,nametag_list2_example2,nametag,2,she/her,2,ST1,jess,ST1_she_jess_nametag.png,275,they/them,15,HT2,brian,HT2_they_brian_nametag.png,525,pepper.png,175,150,100,50,ST1_sister_jess.png,ST1_sister_jess.png,ST1_brother_jess.png,HT2_sister_brian.png,HT2_brother_brian.png,Jess gave the pepper to her sister.,example_jess-pepper-her-sister.mp3
8,nametag_list2_example3,nametag,2,they/them,15,HT2,brian,HT2_they_brian_nametag.png,525,he/him,10,HT1,sam,HT1_he_sam_nametag.png,275,peach.png,725,250,300,350,HT2_brother_brian.png,HT1_sister_sam.png,HT1_brother_sam.png,HT2_sister_brian.png,HT2_brother_brian.png,Brian gave the peach to their brother.,example_brian-peach-their-brother.mp3
9,nametag_list3_example1,nametag,3,he/him,11,HT1,brian,HT1_he_brian_nametag.png,525,she/her,7,ST3,emily,ST3_she_emily_nametag.png,275,fork.png,725,250,300,350,HT1_brother_brian.png,ST3_brother_emily.png,ST3_sister_emily.png,HT1_sister_brian.png,HT1_brother_brian.png,Brian gave the fork to his brother.,example_brian-fork-his-brother.mp3
9,nametag_list3_example2,nametag,3,she/her,7,ST3,emily,ST3_she_emily_nametag.png,275,they/them,18,HT3,sam,HT3_they_sam_nametag.png,525,pepper.png,175,150,100,50,ST3_sister_emily.png,ST3_sister_emily.png,ST3_brother_emily.png,HT3_sister_sam.png,HT3_brother_sam.png,Emily gave the pepper to her sister.,example_emily-pepper-her-sister.mp3
9,nametag_list3_example3,nametag,3,they/them,18,HT3,sam,HT3_they_sam_nametag.png,525,he/him,11,HT1,brian,HT1_he_brian_nametag.png,275,peach.png,725,250,300,350,HT3_brother_sam.png,HT1_brother_brian.png,HT1_sister_brian.png,HT3_sister_sam.png,HT3_brother_sam.png,Sam gave the peach to their brother.,example_sam-peach-their-brother.mp3
10,nametag_list4_example1,nametag,4,he/him,13,HT2,dan,HT2_he_dan_nametag.png,525,she/her,5,ST2,sam,ST2_she_sam_nametag.png,275,fork.png,725,150,100,50,HT2_brother_dan.png,ST2_sister_sam.png,ST2_brother_sam.png,HT2_brother_dan.png,HT2_sister_dan.png,Dan gave the fork to his brother.,example_dan-fork-his-brother.mp3
10,nametag_list4_example2,nametag,4,she/her,5,ST2,sam,ST2_she_sam_nametag.png,275,they/them,3,ST1,emily,ST1_they_emily_nametag.png,525,pepper.png,175,150,100,50,ST2_sister_sam.png,ST2_sister_sam.png,ST2_brother_sam.png,ST1_sister_emily.png,ST1_brother_emily.png,Sam gave the pepper to her sister.,example_sam-pepper-her-sister.mp3
10,nametag_list4_example3,nametag,4,they/them,3,ST1,emily,ST1_they_emily_nametag.png,525,he/him,13,HT2,dan,HT2_he_dan_nametag.png,275,peach.png,725,250,300,350,ST1_brother_emily.png,HT2_sister_dan.png,HT2_brother_dan.png,ST1_sister_emily.png,ST1_brother_emily.png,Emily gave the peach to their brother.,example_emily-peach-their-brother.mp3
11,nametag_list5_example1,nametag,5,he/him,16,HT3,dan,HT3_he_dan_nametag.png,525,she/her,1,ST1,alex,ST1_she_alex_nametag.png,275,fork.png,725,150,100,50,HT3_brother_dan.png,ST1_brother_alex.png,ST1_sister_alex.png,HT3_brother_dan.png,HT3_sister_dan.png,Dan gave the fork to his brother.,example_dan-fork-his-brother.mp3
11,nametag_list5_example2,nametag,5,she/her,1,ST1,alex,ST1_she_alex_nametag.png,275,they/them,6,ST2,jess,ST2_they_jess_nametag.png,525,pepper.png,175,250,300,350,ST1_sister_alex.png,ST1_brother_alex.png,ST1_sister_alex.png,ST2_sister_jess.png,ST2_brother_jess.png,Alex gave the pepper to her sister.,example_alex-pepper-her-sister.mp3
11,nametag_list5_example3,nametag,5,they/them,6,ST2,jess,ST2_they_jess_nametag.png,525,he/him,16,HT3,dan,HT3_he_dan_nametag.png,275,peach.png,725,250,300,350,ST2_brother_jess.png,HT3_sister_dan.png,HT3_brother_dan.png,ST2_sister_jess.png,ST2_brother_jess.png,Jess gave the peach to their brother.,example_jess-peach-their-brother.mp3
12,nametag_list6_example1,nametag,6,he/him,17,HT3,brian,HT3_he_brian_nametag.png,525,she/her,4,ST2,emily,ST2_she_emily_nametag.png,275,fork.png,725,150,100,50,HT3_sister_brian.png,ST2_brother_emily.png,ST2_sister_emily.png,HT3_sister_brian.png,HT3_brother_brian.png,Brian gave the fork to his sister.,example_brian-fork-his-sister.mp3
12,nametag_list6_example2,nametag,6,she/her,4,ST2,emily,ST2_she_emily_nametag.png,275,they/them,9,ST3,alex,ST3_they_alex_nametag.png,525,pepper.png,175,250,300,350,ST2_sister_emily.png,ST2_brother_emily.png,ST2_sister_emily.png,ST3_sister_alex.png,ST3_brother_alex.png,Emily gave the pepper to her sister.,example_emily-pepper-her-sister.mp3
12,nametag_list6_example3,nametag,6,they/them,9,ST3,alex,ST3_they_alex_nametag.png,525,he/him,17,HT3,brian,HT3_he_brian_nametag.png,275,peach.png,725,250,300,350,ST3_brother_alex.png,HT3_brother_brian.png,HT3_sister_brian.png,ST3_sister_alex.png,ST3_brother_alex.png,Alex gave the peach to their brother.,example_alex-peach-their-brother.mp3
13,example_list1_example1,intro,1,he/him,14,HT2,alex,HT2_he_alex.png,525,she/her,8,ST3,jess,ST3_she_jess.png,275,fork.png,725,150,100,50,HT2_sister_alex.png,ST3_sister_jess.png,ST3_brother_jess.png,HT2_sister_alex.png,HT2_brother_alex.png,Alex gave the fork to his sister.,example_alex-fork-his-sister.mp3
13,example_list1_example2,intro,1,she/her,8,ST3,jess,ST3_she_jess.png,275,they/them,12,HT1,dan,HT1_they_dan.png,525,pepper.png,175,250,300,350,ST3_sister_jess.png,ST3_brother_jess.png,ST3_sister_jess.png,HT1_sister_dan.png,HT1_brother_dan.png,Jess gave the pepper to her sister.,example_jess-pepper-her-sister.mp3
13,example_list1_example3,intro,1,they/them,12,HT1,dan,HT1_they_dan.png,525,he/him,14,HT2,alex,HT2_he_alex.png,275,peach.png,725,250,300,350,HT1_sister_dan.png,HT2_brother_alex.png,HT2_sister_alex.png,HT1_brother_dan.png,HT1_sister_dan.png,Dan gave the peach to their sister.,example_dan-peach-their-sister.mp3
14,example_list2_example1,intro,2,he/him,10,HT1,sam,HT1_he_sam.png,525,she/her,2,ST1,jess,ST1_she_jess.png,275,fork.png,725,150,100,50,HT1_brother_sam.png,ST1_sister_jess.png,ST1_brother_jess.png,HT1_brother_sam.png,HT1_sister_sam.png,Sam gave the fork to his brother.,example_sam-fork-his-brother.mp3
14,example_list2_example2,intro,2,she/her,2,ST1,jess,ST1_she_jess.png,275,they/them,15,HT2,brian,HT2_they_brian.png,525,pepper.png,175,150,100,50,ST1_sister_jess.png,ST1_sister_jess.png,ST1_brother_jess.png,HT2_sister_brian.png,HT2_brother_brian.png,Jess gave the pepper to her sister.,example_jess-pepper-her-sister.mp3
14,example_list2_example3,intro,2,they/them,15,HT2,brian,HT2_they_brian.png,525,he/him,10,HT1,sam,HT1_he_sam.png,275,peach.png,725,250,300,350,HT2_brother_brian.png,HT1_sister_sam.png,HT1_brother_sam.png,HT2_sister_brian.png,HT2_brother_brian.png,Brian gave the peach to their brother.,example_brian-peach-their-brother.mp3
15,example_list3_example1,intro,3,he/him,11,HT1,brian,HT1_he_brian.png,525,she/her,7,ST3,emily,ST3_she_emily.png,275,fork.png,725,250,300,350,HT1_brother_brian.png,ST3_brother_emily.png,ST3_sister_emily.png,HT1_sister_brian.png,HT1_brother_brian.png,Brian gave the fork to his brother.,example_brian-fork-his-brother.mp3
15,example_list3_example2,intro,3,she/her,7,ST3,emily,ST3_she_emily.png,275,they/them,18,HT3,sam,HT3_they_sam.png,525,pepper.png,175,150,100,50,ST3_sister_emily.png,ST3_sister_emily.png,ST3_brother_emily.png,HT3_sister_sam.png,HT3_brother_sam.png,Emily gave the pepper to her sister.,example_emily-pepper-her-sister.mp3
15,example_list3_example3,intro,3,they/them,18,HT3,sam,HT3_they_sam.png,525,he/him,11,HT1,brian,HT1_he_brian.png,275,peach.png,725,250,300,350,HT3_brother_sam.png,HT1_brother_brian.png,HT1_sister_brian.png,HT3_sister_sam.png,HT3_brother_sam.png,Sam gave the peach to their brother.,example_sam-peach-their-brother.mp3
16,example_list4_example1,intro,4,he/him,13,HT2,dan,HT2_he_dan.png,525,she/her,5,ST2,sam,ST2_she_sam.png,275,fork.png,725,150,100,50,HT2_brother_dan.png,ST2_sister_sam.png,ST2_brother_sam.png,HT2_brother_dan.png,HT2_sister_dan.png,Dan gave the fork to his brother.,example_dan-fork-his-brother.mp3
16,example_list4_example2,intro,4,she/her,5,ST2,sam,ST2_she_sam.png,275,they/them,3,ST1,emily,ST1_they_emily.png,525,pepper.png,175,150,100,50,ST2_sister_sam.png,ST2_sister_sam.png,ST2_brother_sam.png,ST1_sister_emily.png,ST1_brother_emily.png,Sam gave the pepper to her sister.,example_sam-pepper-her-sister.mp3
16,example_list4_example3,intro,4,they/them,3,ST1,emily,ST1_they_emily.png,525,he/him,13,HT2,dan,HT2_he_dan.png,275,peach.png,725,250,300,350,ST1_brother_emily.png,HT2_sister_dan.png,HT2_brother_dan.png,ST1_sister_emily.png,ST1_brother_emily.png,Emily gave the peach to their brother.,example_emily-peach-their-brother.mp3
17,example_list5_example1,intro,5,he/him,16,HT3,dan,HT3_he_dan.png,525,she/her,1,ST1,alex,ST1_she_alex.png,275,fork.png,725,150,100,50,HT3_brother_dan.png,ST1_brother_alex.png,ST1_sister_alex.png,HT3_brother_dan.png,HT3_sister_dan.png,Dan gave the fork to his brother.,example_dan-fork-his-brother.mp3
17,example_list5_example2,intro,5,she/her,1,ST1,alex,ST1_she_alex.png,275,they/them,6,ST2,jess,ST2_they_jess.png,525,pepper.png,175,250,300,350,ST1_sister_alex.png,ST1_brother_alex.png,ST1_sister_alex.png,ST2_sister_jess.png,ST2_brother_jess.png,Alex gave the pepper to her sister.,example_alex-pepper-her-sister.mp3
17,example_list5_example3,intro,5,they/them,6,ST2,jess,ST2_they_jess.png,525,he/him,16,HT3,dan,HT3_he_dan.png,275,peach.png,725,250,300,350,ST2_brother_jess.png,HT3_sister_dan.png,HT3_brother_dan.png,ST2_sister_jess.png,ST2_brother_jess.png,Jess gave the peach to their brother.,example_jess-peach-their-brother.mp3
18,example_list6_example1,intro,6,he/him,17,HT3,brian,HT3_he_brian.png,525,she/her,4,ST2,emily,ST2_she_emily.png,275,fork.png,725,150,100,50,HT3_sister_brian.png,ST2_brother_emily.png,ST2_sister_emily.png,HT3_sister_brian.png,HT3_brother_brian.png,Brian gave the fork to his sister.,example_brian-fork-his-sister.mp3
18,example_list6_example2,intro,6,she/her,4,ST2,emily,ST2_she_emily.png,275,they/them,9,ST3,alex,ST3_they_alex.png,525,pepper.png,175,250,300,350,ST2_sister_emily.png,ST2_brother_emily.png,ST2_sister_emily.png,ST3_sister_alex.png,ST3_brother_alex.png,Emily gave the pepper to her sister.,example_emily-pepper-her-sister.mp3
18,example_list6_example3,intro,6,they/them,9,ST3,alex,ST3_they_alex.png,525,he/him,17,HT3,brian,HT3_he_brian.png,275,peach.png,725,250,300,350,ST3_brother_alex.png,HT3_brother_brian.png,HT3_sister_brian.png,ST3_sister_alex.png,ST3_brother_alex.png,Alex gave the peach to their brother.,example_alex-peach-their-brother.mp3
19,neither_list1_example1,neither,1,he/him,14,HT2,alex,HT2_he_alex.png,525,she/her,8,ST3,jess,ST3_she_jess.png,275,fork.png,725,150,100,50,HT2_sister_alex.png,ST3_sister_jess.png,ST3_brother_jess.png,HT2_sister_alex.png,HT2_brother_alex.png,Alex gave the fork to his sister.,example_alex-fork-his-sister.mp3
19,neither_list1_example2,neither,1,she/her,8,ST3,jess,ST3_she_jess.png,275,they/them,12,HT1,dan,HT1_they_dan.png,525,pepper.png,175,250,300,350,ST3_sister_jess.png,ST3_brother_jess.png,ST3_sister_jess.png,HT1_sister_dan.png,HT1_brother_dan.png,Jess gave the pepper to her sister.,example_jess-pepper-her-sister.mp3
19,neither_list1_example3,neither,1,they/them,12,HT1,dan,HT1_they_dan.png,525,he/him,14,HT2,alex,HT2_he_alex.png,275,peach.png,725,250,300,350,HT1_sister_dan.png,HT2_brother_alex.png,HT2_sister_alex.png,HT1_brother_dan.png,HT1_sister_dan.png,Dan gave the peach to their sister.,example_dan-peach-their-sister.mp3
20,neither_list2_example1,neither,2,he/him,10,HT1,sam,HT1_he_sam.png,525,she/her,2,ST1,jess,ST1_she_jess.png,275,fork.png,725,150,100,50,HT1_brother_sam.png,ST1_sister_jess.png,ST1_brother_jess.png,HT1_brother_sam.png,HT1_sister_sam.png,Sam gave the fork to his brother.,example_sam-fork-his-brother.mp3
20,neither_list2_example2,neither,2,she/her,2,ST1,jess,ST1_she_jess.png,275,they/them,15,HT2,brian,HT2_they_brian.png,525,pepper.png,175,150,100,50,ST1_sister_jess.png,ST1_sister_jess.png,ST1_brother_jess.png,HT2_sister_brian.png,HT2_brother_brian.png,Jess gave the pepper to her sister.,example_jess-pepper-her-sister.mp3
20,neither_list2_example3,neither,2,they/them,15,HT2,brian,HT2_they_brian.png,525,he/him,10,HT1,sam,HT1_he_sam.png,275,peach.png,725,250,300,350,HT2_brother_brian.png,HT1_sister_sam.png,HT1_brother_sam.png,HT2_sister_brian.png,HT2_brother_brian.png,Brian gave the peach to their brother.,example_brian-peach-their-brother.mp3
21,neither_list3_example1,neither,3,he/him,11,HT1,brian,HT1_he_brian.png,525,she/her,7,ST3,emily,ST3_she_emily.png,275,fork.png,725,250,300,350,HT1_brother_brian.png,ST3_brother_emily.png,ST3_sister_emily.png,HT1_sister_brian.png,HT1_brother_brian.png,Brian gave the fork to his brother.,example_brian-fork-his-brother.mp3
21,neither_list3_example2,neither,3,she/her,7,ST3,emily,ST3_she_emily.png,275,they/them,18,HT3,sam,HT3_they_sam.png,525,pepper.png,175,150,100,50,ST3_sister_emily.png,ST3_sister_emily.png,ST3_brother_emily.png,HT3_sister_sam.png,HT3_brother_sam.png,Emily gave the pepper to her sister.,example_emily-pepper-her-sister.mp3
21,neither_list3_example3,neither,3,they/them,18,HT3,sam,HT3_they_sam.png,525,he/him,11,HT1,brian,HT1_he_brian.png,275,peach.png,725,250,300,350,HT3_brother_sam.png,HT1_brother_brian.png,HT1_sister_brian.png,HT3_sister_sam.png,HT3_brother_sam.png,Sam gave the peach to their brother.,example_sam-peach-their-brother.mp3
22,neither_list4_example1,neither,4,he/him,13,HT2,dan,HT2_he_dan.png,525,she/her,5,ST2,sam,ST2_she_sam.png,275,fork.png,725,150,100,50,HT2_brother_dan.png,ST2_sister_sam.png,ST2_brother_sam.png,HT2_brother_dan.png,HT2_sister_dan.png,Dan gave the fork to his brother.,example_dan-fork-his-brother.mp3
22,neither_list4_example2,neither,4,she/her,5,ST2,sam,ST2_she_sam.png,275,they/them,3,ST1,emily,ST1_they_emily.png,525,pepper.png,175,150,100,50,ST2_sister_sam.png,ST2_sister_sam.png,ST2_brother_sam.png,ST1_sister_emily.png,ST1_brother_emily.png,Sam gave the pepper to her sister.,example_sam-pepper-her-sister.mp3
22,neither_list4_example3,neither,4,they/them,3,ST1,emily,ST1_they_emily.png,525,he/him,13,HT2,dan,HT2_he_dan.png,275,peach.png,725,250,300,350,ST1_brother_emily.png,HT2_sister_dan.png,HT2_brother_dan.png,ST1_sister_emily.png,ST1_brother_emily.png,Emily gave the peach to their brother.,example_emily-peach-their-brother.mp3
23,neither_list5_example1,neither,5,he/him,16,HT3,dan,HT3_he_dan.png,525,she/her,1,ST1,alex,ST1_she_alex.png,275,fork.png,725,150,100,50,HT3_brother_dan.png,ST1_brother_alex.png,ST1_sister_alex.png,HT3_brother_dan.png,HT3_sister_dan.png,Dan gave the fork to his brother.,example_dan-fork-his-brother.mp3
23,neither_list5_example2,neither,5,she/her,1,ST1,alex,ST1_she_alex.png,275,they/them,6,ST2,jess,ST2_they_jess.png,525,pepper.png,175,250,300,350,ST1_sister_alex.png,ST1_brother_alex.png,ST1_sister_alex.png,ST2_sister_jess.png,ST2_brother_jess.png,Alex gave the pepper to her sister.,example_alex-pepper-her-sister.mp3
23,neither_list5_example3,neither,5,they/them,6,ST2,jess,ST2_they_jess.png,525,he/him,16,HT3,dan,HT3_he_dan.png,275,peach.png,725,250,300,350,ST2_brother_jess.png,HT3_sister_dan.png,HT3_brother_dan.png,ST2_sister_jess.png,ST2_brother_jess.png,Jess gave the peach to their brother.,example_jess-peach-their-brother.mp3
24,neither_list6_example1,neither,6,he/him,17,HT3,brian,HT3_he_brian.png,525,she/her,4,ST2,emily,ST2_she_emily.png,275,fork.png,725,150,100,50,HT3_sister_brian.png,ST2_brother_emily.png,ST2_sister_emily.png,HT3_sister_brian.png,HT3_brother_brian.png,Brian gave the fork to his sister.,example_brian-fork-his-sister.mp3
24,neither_list6_example2,neither,6,she/her,4,ST2,emily,ST2_she_emily.png,275,they/them,9,ST3,alex,ST3_they_alex.png,525,pepper.png,175,250,300,350,ST2_sister_emily.png,ST2_brother_emily.png,ST2_sister_emily.png,ST3_sister_alex.png,ST3_brother_alex.png,Emily gave the pepper to her sister.,example_emily-pepper-her-sister.mp3
24,neither_list6_example3,neither,6,they/them,9,ST3,alex,ST3_they_alex.png,525,he/him,17,HT3,brian,HT3_he_brian.png,275,peach.png,725,250,300,350,ST3_brother_alex.png,HT3_brother_brian.png,HT3_sister_brian.png,ST3_sister_alex.png,ST3_brother_alex.png,Alex gave the peach to their brother.,example_alex-peach-their-brother.mp3
1,both_list1_practice1,both,1,he/him,14,HT2,alex,HT2_he_alex_nametag.png,275,they/them,12,HT1,dan,HT1_they_dan_nametag.png,525,sandwich.png,175,150,100,50,HT2_brother_alex.png,HT2_brother_alex.png,HT2_sister_alex.png,HT1_brother_dan.png,HT1_sister_dan.png,Alex gave the sandwich to his brother.,practice_alex-sandwich-his-brother.mp3
1,both_list1_practice2,both,1,she/her,8,ST3,jess,ST3_she_jess_nametag.png,525,he/him,14,HT2,alex,HT2_he_alex_nametag.png,275,popcorn.png,725,250,300,350,ST3_brother_jess.png,HT2_sister_alex.png,HT2_brother_alex.png,ST3_sister_jess.png,ST3_brother_jess.png,Jess gave the popcorn to her brother.,practice_jess-popcorn-her-brother.mp3
1,both_list1_practice3,both,1,they/them,12,HT1,dan,HT1_they_dan_nametag.png,275,she/her,8,ST3,jess,ST3_she_jess_nametag.png,525,hotdog.png,175,250,300,350,HT1_brother_dan.png,HT1_sister_dan.png,HT1_brother_dan.png,ST3_sister_jess.png,ST3_brother_jess.png,Dan gave the hotdog to their brother.,practice_dan-hotdog-their-brother.mp3
2,both_list2_practice1,both,2,he/him,10,HT1,sam,HT1_he_sam_nametag.png,275,they/them,15,HT2,brian,HT2_they_brian_nametag.png,525,sandwich.png,175,250,300,350,HT1_sister_sam.png,HT1_brother_sam.png,HT1_sister_sam.png,HT2_brother_brian.png,HT2_sister_brian.png,Sam gave the sandwich to his sister.,practice_sam-sandwich-his-sister.mp3
2,both_list2_practice2,both,2,she/her,2,ST1,jess,ST1_she_jess_nametag.png,525,he/him,10,HT1,sam,HT1_he_sam_nametag.png,275,popcorn.png,725,250,300,350,ST1_brother_jess.png,HT1_brother_sam.png,HT1_sister_sam.png,ST1_sister_jess.png,ST1_brother_jess.png,Jess gave the popcorn to her brother.,practice_jess-popcorn-her-brother.mp3
